id,daily_avg_moderate_activity,daily_avg_vigorous_activity,activity_level
1503960366,20,40,Very Active
2022484408,19,36,Very Active
2347167796,21,14,Very Active
3977333714,63,19,Very Active
4388161847,21,24,Very Active
5577150313,32,94,Very Active
6775888955,23,17,Very Active
7007744171,17,32,Very Active
7086361926,26,44,Very Active
8053475328,10,85,Very Active
8253242879,15,22,Very Active
8583815059,28,12,Very Active
8877689391,10,66,Very Active
5553957443,13,23,Very Active
6962181067,19,23,Very Active
8378563200,10,59,Very Active
1844505072,2,0,Sedentary
1927972279,1,2,Sedentary
2026352035,0,0,Sedentary
2320127002,3,1,Sedentary
4057192912,2,1,Sedentary
4319703577,13,4,Sedentary
4445114986,2,7,Sedentary
6117666160,2,2,Sedentary
6290855005,4,3,Sedentary
8792009665,6,1,Sedentary
1624580081,6,9,Active
1644430081,21,10,Active
2873212765,6,13,Active
3372868164,4,9,Active
4020332650,10,9,Active
4558609924,14,10,Active
4702921684,27,5,Active