id,days_with_steps,days_with_sleep,days_with_weight,days_with_heart_rate,days_with_activity
1503960366,30,25,2,0,30
1624580081,31,0,0,0,31
1644430081,30,4,0,0,30
1844505072,21,3,0,0,22
1927972279,17,5,1,0,18
2022484408,31,0,0,31,31
2026352035,31,28,0,4,31
2320127002,31,1,0,0,31
2347167796,18,15,0,18,18
2873212765,31,0,2,0,31
3372868164,20,0,0,0,20
3977333714,29,28,0,0,29
4020332650,17,8,0,16,17
4057192912,3,0,0,0,3
4319703577,30,26,2,0,30
4388161847,30,23,0,30,30
4445114986,31,28,0,0,31
4558609924,31,5,5,31,31
4702921684,30,27,0,0,30
5553957443,31,31,0,31,31
5577150313,28,26,1,28,28
6117666160,23,18,0,23,23
6290855005,24,0,0,0,25
6775888955,17,3,0,18,17
6962181067,31,31,30,31,31
7007744171,24,2,0,24,25
7086361926,30,24,0,0,30
8053475328,31,3,0,0,31
8253242879,18,0,0,0,18
8378563200,31,31,0,0,31
8583815059,25,0,0,0,25
8792009665,19,15,0,18,19
8877689391,31,0,24,31,31