id,days_with_data,avg_time_asleep,avg_time_asleep_converted,avg_time_in_bed,avg_time_in_bed_converted,min_time_asleep,min_time_asleep_converted,max_time_asleep,max_time_asleep_converted,min_time_in_bed,min_time_in_bed_converted,max_time_in_bed,max_time_in_bed_converted
1503960366,25,360,06:00:00,383,06:23:00,245,04:05:00,700,12:40:00,264,04:24:00,712,12:52:00
1644430081,4,294,05:54:00,346,06:46:00,119,02:59:00,796,13:16:00,127,02:07:00,961,16:01:00
1844505072,3,652,11:52:00,961,16:01:00,590,10:50:00,722,12:02:00,961,16:01:00,961,16:01:00
1927972279,5,417,07:57:00,438,07:18:00,166,03:46:00,750,13:30:00,178,03:58:00,775,13:55:00
2026352035,28,506,08:26:00,538,09:58:00,357,06:57:00,573,10:33:00,380,06:20:00,607,10:07:00
2320127002,1,61,01:01:00,69,01:09:00,61,01:01:00,61,01:01:00,69,01:09:00,69,01:09:00
2347167796,15,447,07:27:00,491,08:11:00,374,06:14:00,556,09:16:00,386,06:26:00,602,10:02:00
3977333714,28,294,05:54:00,461,08:41:00,152,03:32:00,424,07:04:00,305,05:05:00,626,10:26:00
4020332650,8,349,06:49:00,380,06:20:00,77,01:17:00,501,08:21:00,77,01:17:00,541,09:01:00
4319703577,26,477,08:57:00,502,08:22:00,59,01:59:00,692,12:32:00,65,01:05:00,722,12:02:00
4388161847,23,400,07:40:00,423,07:03:00,62,01:02:00,619,10:19:00,65,01:05:00,641,11:41:00
4445114986,28,385,06:25:00,417,07:57:00,98,02:38:00,502,08:22:00,107,02:47:00,542,09:02:00
4558609924,5,128,02:08:00,140,02:20:00,103,02:43:00,171,03:51:00,121,02:01:00,179,03:59:00
4702921684,27,417,07:57:00,438,07:18:00,253,04:13:00,591,10:51:00,257,04:17:00,612,10:12:00
5553957443,31,463,08:43:00,506,08:26:00,322,05:22:00,775,13:55:00,353,06:53:00,843,14:03:00
5577150313,26,432,07:12:00,461,08:41:00,74,01:14:00,603,10:03:00,78,01:18:00,634,11:34:00
6117666160,18,479,08:59:00,510,09:30:00,336,06:36:00,658,11:58:00,350,06:50:00,698,12:38:00
6775888955,3,350,06:50:00,369,06:09:00,235,04:55:00,423,07:03:00,260,04:20:00,441,07:21:00
6962181067,31,448,07:28:00,466,08:46:00,298,05:58:00,630,11:30:00,334,06:34:00,679,11:19:00
7007744171,2,69,01:09:00,72,01:12:00,58,01:58:00,79,01:19:00,61,01:01:00,82,01:22:00
7086361926,24,453,08:33:00,466,08:46:00,322,05:22:00,681,11:21:00,333,06:33:00,704,12:44:00
8053475328,3,297,05:57:00,302,05:02:00,74,01:14:00,486,08:06:00,75,01:15:00,493,08:13:00
8378563200,31,445,07:25:00,486,08:06:00,323,05:23:00,611,10:11:00,355,06:55:00,689,11:29:00
8792009665,15,436,07:16:00,454,08:34:00,339,06:39:00,531,09:51:00,360,06:00:00,552,09:12:00